epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.3214,0.85747,2.12493,1.59565,0.51104,0.87966,0.56477,0.54386,0.30066,1.22437,1.05399,0.000553586,0.000553586,0.000553586
2,189.51,0.57026,1.27277,1.31817,0.5813,0.84049,0.67846,0.66017,0.29987,1.11145,1.06491,0.00107265,0.00107265,0.00107265
3,347.153,0.54052,1.11299,1.30303,0.68524,0.90106,0.7766,0.76095,0.28707,0.80493,1.00667,0.00155503,0.00155503,0.00155503
4,531.421,0.50201,1.0129,1.27251,0.70633,0.9427,0.80507,0.79697,0.24813,0.73037,1.01694,0.00150197,0.00150197,0.00150197
5,722.34,0.48141,0.94261,1.28045,0.74291,0.95575,0.84693,0.83659,0.25265,0.64368,1.02338,0.00144696,0.00144696,0.00144696
6,913.194,0.46217,0.90171,1.25296,0.79109,0.96472,0.88719,0.88272,0.24302,0.56853,0.99125,0.00139195,0.00139195,0.00139195
7,1106.35,0.43523,0.87019,1.24128,0.76751,0.94237,0.85625,0.85165,0.22597,0.59989,0.98428,0.00133693,0.00133693,0.00133693
8,1312.81,0.4156,0.84136,1.23445,0.7897,0.94872,0.85971,0.85637,0.22894,0.57057,0.98036,0.00128192,0.00128192,0.00128192
9,1513.58,0.40597,0.82339,1.23815,0.7936,0.96307,0.87389,0.87299,0.19373,0.55215,0.97291,0.00122691,0.00122691,0.00122691
10,1709.77,0.39138,0.78789,1.22609,0.82163,0.95341,0.89889,0.89685,0.19645,0.60305,0.98057,0.0011719,0.0011719,0.0011719
11,1899.59,0.37883,0.76952,1.20541,0.7959,0.97639,0.88013,0.87919,0.19047,0.52438,0.97,0.00111689,0.00111689,0.00111689
12,2090.98,0.37169,0.77788,1.21334,0.79209,0.9825,0.88258,0.88022,0.18114,0.50832,0.97068,0.00106188,0.00106188,0.00106188
13,2288.21,0.35404,0.75366,1.19497,0.79998,0.96948,0.88807,0.88714,0.17341,0.49024,0.95569,0.00100687,0.00100687,0.00100687
14,2487.33,0.34241,0.73416,1.19471,0.80993,0.97785,0.89915,0.8987,0.15768,0.45006,0.96097,0.000951857,0.000951857,0.000951857
15,2678.74,0.34073,0.73734,1.19982,0.83543,0.95912,0.90358,0.90229,0.1604,0.4673,0.96282,0.000896846,0.000896846,0.000896846
16,2871.8,0.33096,0.71259,1.18794,0.83241,0.96383,0.91188,0.91135,0.16487,0.44951,0.96518,0.000841835,0.000841835,0.000841835
17,3065.81,0.32653,0.70692,1.17066,0.80043,0.98525,0.89846,0.89762,0.15914,0.44418,0.95574,0.000786824,0.000786824,0.000786824
18,3261.55,0.3115,0.6916,1.17472,0.84073,0.94504,0.9042,0.90336,0.14548,0.45543,0.95375,0.000731813,0.000731813,0.000731813
19,3459.38,0.30986,0.67831,1.17347,0.83442,0.95243,0.90684,0.90679,0.1311,0.42201,0.95544,0.000676802,0.000676802,0.000676802
20,3657.36,0.30571,0.68647,1.17616,0.81559,0.97615,0.89884,0.89858,0.12883,0.4442,0.95231,0.000621791,0.000621791,0.000621791
21,3846.38,0.18484,0.54867,1.00364,0.83285,0.96515,0.91818,0.91767,0.14011,0.44756,0.96022,0.00056678,0.00056678,0.00056678
22,4037.4,0.18006,0.51717,1.00542,0.83921,0.97741,0.91401,0.91397,0.12629,0.42129,0.95799,0.000511769,0.000511769,0.000511769
23,4233.19,0.16415,0.50423,0.99944,0.84516,0.97156,0.91189,0.9118,0.11792,0.46494,0.95868,0.000456758,0.000456758,0.000456758
24,4425.05,0.15845,0.48428,1.00053,0.84871,0.96319,0.91999,0.91986,0.11617,0.46032,0.95034,0.000401747,0.000401747,0.000401747
25,4615.49,0.1499,0.46042,0.99254,0.85178,0.96608,0.92647,0.92627,0.11141,0.38445,0.95067,0.000346736,0.000346736,0.000346736
26,4803.14,0.15078,0.47724,0.99381,0.84717,0.96169,0.92213,0.92202,0.10923,0.59218,0.96898,0.000291725,0.000291725,0.000291725
27,4991.47,0.13709,0.43722,0.98594,0.85305,0.95484,0.91983,0.91971,0.10261,0.43115,0.94792,0.000236714,0.000236714,0.000236714
28,5181.44,0.13767,0.44391,0.98508,0.84096,0.96751,0.91314,0.91301,0.10252,0.469,0.94142,0.000181703,0.000181703,0.000181703
29,5372.75,0.13487,0.43785,0.98936,0.84515,0.9779,0.92234,0.92228,0.09611,0.42357,0.94437,0.000126692,0.000126692,0.000126692
30,5564.66,0.12616,0.41616,0.9752,0.83751,0.97895,0.91652,0.91639,0.09616,0.44169,0.94282,7.1681e-05,7.1681e-05,7.1681e-05
