epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.898,0.90192,2.21243,1.58929,0.59172,0.80791,0.67112,0.63551,0.35957,1.21702,1.11134,0.000475145,0.000475145,0.000475145
2,407.323,0.57843,1.286,1.30273,0.66923,0.89784,0.76695,0.73582,0.33656,0.88951,1.02416,0.000935779,0.000935779,0.000935779
3,680.157,0.5562,1.11743,1.30262,0.72876,0.9521,0.82804,0.81385,0.29387,0.69744,1.0111,0.00138069,0.00138069,0.00138069
4,958.508,0.51562,1.01824,1.27367,0.74772,0.9374,0.83743,0.82319,0.2796,0.6784,0.99858,0.00135826,0.00135826,0.00135826
5,1247.09,0.47384,0.95382,1.2407,0.81478,0.92328,0.87545,0.86961,0.23161,0.64278,0.99654,0.00133469,0.00133469,0.00133469
6,1532.06,0.45697,0.90428,1.2311,0.80424,0.96573,0.88017,0.87438,0.24613,0.56879,0.97861,0.00131111,0.00131111,0.00131111
7,1818.32,0.43341,0.87565,1.22651,0.80631,0.96234,0.89013,0.88593,0.20806,0.5522,0.98294,0.00128753,0.00128753,0.00128753
8,2105.46,0.42845,0.86759,1.22565,0.824,0.96129,0.88757,0.88528,0.20609,0.49678,0.96851,0.00126395,0.00126395,0.00126395
9,2392.98,0.4048,0.8374,1.20467,0.8258,0.95931,0.90165,0.90021,0.19846,0.51592,0.97557,0.00124037,0.00124037,0.00124037
10,2683.68,0.40749,0.81763,1.21425,0.83239,0.98062,0.91428,0.91274,0.19777,0.47326,0.97867,0.00121679,0.00121679,0.00121679
11,2974.16,0.39054,0.79312,1.21081,0.82317,0.96323,0.90406,0.90108,0.20823,0.50012,0.95802,0.00119322,0.00119322,0.00119322
12,3263.52,0.38487,0.79672,1.19814,0.8423,0.96781,0.91178,0.91043,0.18145,0.4501,0.95515,0.00116964,0.00116964,0.00116964
13,3550.1,0.36793,0.77179,1.19214,0.84708,0.95543,0.9116,0.91024,0.17772,0.48468,0.96305,0.00114606,0.00114606,0.00114606
14,3837.52,0.35209,0.75346,1.1771,0.8381,0.9688,0.91381,0.9131,0.16216,0.44755,0.95152,0.00112248,0.00112248,0.00112248
15,4126.26,0.35093,0.76236,1.18878,0.84079,0.96886,0.91193,0.91071,0.16399,0.46929,0.95192,0.0010989,0.0010989,0.0010989
16,4416.05,0.34826,0.7405,1.18057,0.85134,0.97132,0.9277,0.92641,0.16087,0.44501,0.96003,0.00107532,0.00107532,0.00107532
17,4705.54,0.35668,0.75236,1.1973,0.85713,0.96161,0.92095,0.91983,0.16874,0.50599,0.94837,0.00105174,0.00105174,0.00105174
18,4995.19,0.34401,0.747,1.19318,0.82564,0.98016,0.91636,0.91624,0.14918,0.43588,0.95345,0.00102817,0.00102817,0.00102817
19,5285.05,0.33333,0.71485,1.17866,0.84901,0.9727,0.92671,0.92631,0.15672,0.40496,0.95756,0.00100459,0.00100459,0.00100459
20,5576.25,0.33371,0.72496,1.18064,0.85463,0.96936,0.92508,0.92414,0.15785,0.42618,0.96334,0.000981008,0.000981008,0.000981008
21,5866.67,0.33779,0.72801,1.17925,0.8428,0.97138,0.92582,0.92519,0.15995,0.43468,0.96025,0.00095743,0.00095743,0.00095743
22,6170.4,0.32206,0.70921,1.16893,0.85832,0.9753,0.94492,0.94429,0.15033,0.39576,0.95814,0.000933851,0.000933851,0.000933851
23,6462.99,0.31171,0.70203,1.1608,0.85627,0.97004,0.93223,0.93182,0.14625,0.40573,0.96029,0.000910273,0.000910273,0.000910273
24,6754.29,0.31512,0.68553,1.16377,0.84971,0.97867,0.93264,0.93203,0.14385,0.47324,0.9461,0.000886694,0.000886694,0.000886694
25,7044.77,0.31486,0.70027,1.17429,0.87352,0.97213,0.93958,0.93939,0.13214,0.38466,0.95226,0.000863116,0.000863116,0.000863116
26,7336.58,0.29933,0.66953,1.15868,0.85092,0.97608,0.91461,0.91405,0.13774,0.41737,0.94933,0.000839537,0.000839537,0.000839537
27,7628.38,0.30599,0.67358,1.16902,0.8692,0.97579,0.92391,0.92363,0.13177,0.37952,0.94346,0.000815959,0.000815959,0.000815959
28,7918.9,0.29326,0.66629,1.15589,0.85178,0.97216,0.92763,0.92755,0.12748,0.3886,0.95317,0.00079238,0.00079238,0.00079238
29,8210.09,0.28877,0.66196,1.15828,0.85299,0.98485,0.93271,0.93244,0.12941,0.4018,0.94142,0.000768802,0.000768802,0.000768802
30,8501.27,0.29171,0.66588,1.16181,0.87601,0.97328,0.94215,0.94184,0.11873,0.42059,0.94774,0.000745223,0.000745223,0.000745223
31,8792.22,0.28578,0.64333,1.15744,0.85707,0.98172,0.93293,0.93277,0.1251,0.40622,0.93772,0.000721645,0.000721645,0.000721645
32,9082.9,0.28345,0.65133,1.1603,0.86366,0.97616,0.93245,0.93172,0.11874,0.39545,0.94544,0.000698066,0.000698066,0.000698066
33,9373.61,0.279,0.6515,1.16371,0.86689,0.96525,0.94143,0.94133,0.11609,0.38379,0.94216,0.000674488,0.000674488,0.000674488
34,9665.09,0.27445,0.64147,1.14946,0.85228,0.98369,0.94275,0.94269,0.12278,0.39325,0.94137,0.000650909,0.000650909,0.000650909
35,9957.07,0.27524,0.63584,1.14081,0.87175,0.97352,0.94443,0.94418,0.11903,0.38068,0.94163,0.000627331,0.000627331,0.000627331
36,10248.3,0.26928,0.63313,1.1461,0.87736,0.95401,0.94666,0.94619,0.11101,0.36519,0.94354,0.000603752,0.000603752,0.000603752
37,10539.4,0.26064,0.6148,1.14228,0.858,0.97322,0.93906,0.93901,0.10999,0.39095,0.94539,0.000580174,0.000580174,0.000580174
38,10831,0.2653,0.6304,1.1481,0.85273,0.97882,0.94348,0.94336,0.10939,0.40427,0.93901,0.000556595,0.000556595,0.000556595
39,11122.9,0.27148,0.62168,1.14912,0.85734,0.98257,0.94722,0.94692,0.11063,0.36014,0.93422,0.000533017,0.000533017,0.000533017
40,11415,0.26259,0.6206,1.14608,0.86295,0.98005,0.94507,0.94462,0.10611,0.35637,0.93867,0.000509438,0.000509438,0.000509438
41,11707.3,0.25688,0.60504,1.13918,0.86852,0.96385,0.94148,0.94132,0.10494,0.40755,0.93697,0.00048586,0.00048586,0.00048586
42,11998.4,0.25993,0.60656,1.15602,0.8659,0.97544,0.94481,0.94474,0.10208,0.36226,0.93979,0.000462281,0.000462281,0.000462281
43,12290.8,0.25518,0.60293,1.1502,0.8728,0.96702,0.94955,0.94929,0.10009,0.377,0.94535,0.000438703,0.000438703,0.000438703
44,12582.1,0.24877,0.59914,1.14544,0.8728,0.96206,0.94968,0.9493,0.096,0.35275,0.94169,0.000415124,0.000415124,0.000415124
45,12873.5,0.24571,0.58998,1.13902,0.87342,0.96828,0.9535,0.95335,0.09415,0.3655,0.94468,0.000391546,0.000391546,0.000391546
46,13163.8,0.24159,0.58537,1.13578,0.86693,0.98495,0.94728,0.94704,0.09478,0.34699,0.93695,0.000367967,0.000367967,0.000367967
47,13454.6,0.24031,0.57832,1.13903,0.87629,0.96862,0.95677,0.95663,0.09214,0.34257,0.94467,0.000344389,0.000344389,0.000344389
48,13746.2,0.2406,0.58193,1.13771,0.87034,0.97572,0.95417,0.95376,0.09758,0.41114,0.9377,0.00032081,0.00032081,0.00032081
49,14037.9,0.23965,0.5843,1.14099,0.8577,0.97578,0.94859,0.94852,0.0925,0.36048,0.93862,0.000297232,0.000297232,0.000297232
50,14329.4,0.23552,0.56468,1.13145,0.86848,0.97444,0.95431,0.954,0.09118,0.35663,0.93513,0.000273654,0.000273654,0.000273654
51,14611.2,0.12997,0.44732,0.97279,0.85741,0.97752,0.95186,0.9518,0.09109,0.36123,0.93499,0.000250075,0.000250075,0.000250075
52,14892.7,0.12775,0.42416,0.98186,0.86622,0.97416,0.95372,0.9536,0.08631,0.33531,0.93749,0.000226497,0.000226497,0.000226497
53,15173.5,0.12651,0.4084,0.97506,0.86634,0.97329,0.95515,0.95484,0.08733,0.33961,0.94049,0.000202918,0.000202918,0.000202918
54,15454.3,0.12266,0.40382,0.97544,0.8756,0.96538,0.95471,0.95455,0.08206,0.34002,0.94014,0.00017934,0.00017934,0.00017934
55,15734.9,0.11792,0.39187,0.97389,0.8737,0.97053,0.95623,0.95615,0.08206,0.33015,0.93663,0.000155761,0.000155761,0.000155761
56,16016.5,0.11489,0.3856,0.97837,0.86944,0.97611,0.95882,0.95858,0.08115,0.32832,0.93787,0.000132183,0.000132183,0.000132183
57,16297.1,0.11318,0.38505,0.97365,0.87011,0.96932,0.95692,0.95692,0.07879,0.31654,0.93835,0.000108604,0.000108604,0.000108604
58,16578.4,0.11085,0.38314,0.97576,0.8793,0.95719,0.95851,0.95845,0.07746,0.32051,0.94046,8.50255e-05,8.50255e-05,8.50255e-05
