epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.3943,0.97884,2.40209,1.66901,0.5735,0.83792,0.69095,0.64967,0.38999,1.22405,1.05236,0.000474569,0.000474569,0.000474569
2,184.87,0.61911,1.41388,1.32796,0.61436,0.88446,0.73609,0.71773,0.321,0.99153,1.01078,0.000927368,0.000927368,0.000927368
3,323.84,0.5959,1.23156,1.31492,0.71311,0.91321,0.81836,0.78671,0.34402,0.81067,1.00297,0.00135659,0.00135659,0.00135659
4,483.433,0.53135,1.09946,1.26557,0.75654,0.86869,0.85004,0.83756,0.27161,0.76433,1.00506,0.0013229,0.0013229,0.0013229
5,639.311,0.50084,1.04361,1.27049,0.72836,0.95769,0.84213,0.82737,0.27178,0.74243,0.98427,0.00128753,0.00128753,0.00128753
6,785.069,0.47896,0.98685,1.25259,0.79092,0.93287,0.88281,0.86358,0.26984,0.6396,0.97045,0.00125216,0.00125216,0.00125216
7,937.069,0.46919,0.94909,1.23848,0.79337,0.96742,0.89042,0.87355,0.26998,0.55636,0.97432,0.00121679,0.00121679,0.00121679
8,1091.68,0.45323,0.93246,1.23909,0.81587,0.95018,0.89199,0.88525,0.25416,0.55581,0.9738,0.00118143,0.00118143,0.00118143
9,1245.34,0.44843,0.89122,1.24264,0.82293,0.94559,0.89517,0.88739,0.23059,0.579,0.95831,0.00114606,0.00114606,0.00114606
10,1399.33,0.43616,0.87716,1.23601,0.82791,0.96983,0.89838,0.89248,0.22523,0.50713,0.96779,0.00111069,0.00111069,0.00111069
11,1554.53,0.41452,0.84378,1.21625,0.83065,0.96924,0.89924,0.89476,0.20461,0.50733,0.95464,0.00107532,0.00107532,0.00107532
12,1710.12,0.38867,0.82241,1.2114,0.82431,0.97035,0.90761,0.9032,0.19245,0.49247,0.96335,0.00103995,0.00103995,0.00103995
13,1867.25,0.39672,0.82713,1.20453,0.8222,0.9786,0.90826,0.90628,0.18683,0.47634,0.96991,0.00100459,0.00100459,0.00100459
14,2027.76,0.385,0.8172,1.21498,0.82188,0.98265,0.91456,0.91038,0.18613,0.50105,0.9553,0.000969219,0.000969219,0.000969219
15,2185.83,0.39013,0.82108,1.21355,0.84798,0.95757,0.90731,0.90478,0.20175,0.49646,0.96782,0.000933851,0.000933851,0.000933851
16,2344.95,0.36716,0.78678,1.20037,0.8563,0.954,0.91748,0.91522,0.18399,0.48246,0.95455,0.000898484,0.000898484,0.000898484
17,2505.48,0.35165,0.77685,1.19877,0.83703,0.96652,0.90734,0.9066,0.16032,0.47074,0.9637,0.000863116,0.000863116,0.000863116
18,2667.17,0.35114,0.77911,1.19596,0.83969,0.97444,0.91392,0.91223,0.16619,0.46889,0.9502,0.000827748,0.000827748,0.000827748
19,2828.2,0.34943,0.76627,1.1894,0.84421,0.96004,0.92072,0.9203,0.15993,0.47611,0.94972,0.00079238,0.00079238,0.00079238
20,3005.45,0.3486,0.766,1.19425,0.84486,0.9608,0.92519,0.92373,0.16155,0.42988,0.95421,0.000757013,0.000757013,0.000757013
21,3193.95,0.33267,0.73998,1.17358,0.82196,0.9841,0.91581,0.91572,0.15035,0.42946,0.93782,0.000721645,0.000721645,0.000721645
22,3375.9,0.32599,0.73398,1.18238,0.84057,0.98172,0.92689,0.92611,0.1474,0.42885,0.93527,0.000686277,0.000686277,0.000686277
23,3544.49,0.31564,0.71797,1.15807,0.84883,0.96732,0.92339,0.92261,0.14642,0.43234,0.94881,0.000650909,0.000650909,0.000650909
24,16670.5,0.31407,0.7142,1.16417,0.85364,0.97733,0.92621,0.92593,0.13225,0.40207,0.95162,0.000615542,0.000615542,0.000615542
25,16735.1,0.31284,0.70564,1.17242,0.84577,0.98481,0.93711,0.93559,0.13868,0.39373,0.93395,0.000580174,0.000580174,0.000580174
26,16806.9,0.31462,0.71266,1.16994,0.83079,0.98523,0.92492,0.92437,0.13583,0.41688,0.93297,0.000544806,0.000544806,0.000544806
27,16883.6,0.30134,0.68552,1.15351,0.86741,0.95441,0.94095,0.94061,0.13525,0.42054,0.93201,0.000509438,0.000509438,0.000509438
28,16962,0.29989,0.68409,1.17145,0.83322,0.99193,0.93384,0.93354,0.13072,0.41311,0.93668,0.000474071,0.000474071,0.000474071
29,17042.4,0.30274,0.68108,1.1694,0.85784,0.97262,0.93483,0.93382,0.13392,0.41174,0.93387,0.000438703,0.000438703,0.000438703
