                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6858,                 6.0694,                 2.0477,                0.81149,                0.12336,                0.35709,                0.30083,                 1.3322,                 7.9775,                 1.8622,             0.00041152,             0.00041152,             0.00041152
                      2,                 1.5437,                 4.5337,                 2.0018,                0.38226,                0.59404,                0.46024,                0.39952,                 1.3198,                 5.7721,                 2.0363,             0.00081999,             0.00081999,             0.00081999
                      3,                 1.5251,                 4.0396,                 1.9752,                0.56712,                0.74284,                0.71519,                0.62403,                 1.2986,                 4.3381,                 1.9945,              0.0012202,              0.0012202,              0.0012202
                      4,                 1.4601,                 3.3829,                 1.9513,                0.68121,                0.77515,                0.82104,                0.70512,                 1.3753,                 3.8139,                 2.0441,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4323,                 3.0701,                 1.9553,                0.68305,                0.74925,                0.78798,                0.66766,                 1.4495,                 3.2325,                 2.0415,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.4303,                 2.7005,                 1.9389,                0.79853,                0.72982,                0.85558,                0.76619,                 1.1993,                 2.5698,                 1.9181,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3685,                 2.4427,                 1.9068,                0.74491,                0.76564,                0.84722,                0.76161,                 1.1843,                 2.3115,                 1.9269,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2637,                 2.1317,                 1.8829,                0.83562,                0.83356,                 0.9196,                0.84345,                 1.0673,                  1.748,                  1.852,              0.0011634,              0.0011634,              0.0011634
                      9,                  1.275,                 1.9518,                 1.8675,                0.81879,                0.83186,                0.91474,                0.83899,                 1.0685,                 1.7328,                 1.8844,               0.001151,               0.001151,               0.001151
                     10,                 1.1993,                 1.8013,                 1.8385,                0.80721,                0.80909,                0.89833,                0.82553,                 1.0338,                 1.6077,                 1.8563,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.2107,                 1.7639,                 1.8517,                 0.8512,                0.86889,                0.93903,                0.86013,                 1.0503,                 1.4445,                 1.8518,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1724,                 1.7173,                 1.8441,                0.85334,                  0.834,                0.93746,                0.86774,                 1.0085,                 1.3117,                 1.8262,              0.0011139,              0.0011139,              0.0011139
                     13,                  1.159,                 1.5262,                  1.821,                0.84737,                0.85403,                0.91569,                0.84968,                0.98559,                 1.3454,                 1.8249,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1831,                 1.5619,                 1.8432,                0.87539,                0.87372,                0.95413,                0.88118,                 0.9978,                 1.1167,                 1.8312,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1627,                 1.5249,                 1.8387,                0.80434,                0.86188,                0.92418,                0.85353,                0.98591,                 1.3177,                 1.7896,              0.0010768,              0.0010768,              0.0010768
                     16,                  1.116,                 1.4364,                 1.8265,                0.92104,                0.87771,                0.95781,                0.89287,                0.96371,                0.99722,                 1.8073,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1351,                 1.4002,                 1.8242,                 0.8664,                0.85851,                0.93666,                0.87941,                0.92622,                 1.0211,                 1.8072,               0.001052,               0.001052,               0.001052
                     18,                 1.0828,                 1.3821,                 1.8199,                0.90197,                 0.8838,                 0.9574,                0.90187,                0.93822,                0.93419,                 1.8158,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.1245,                 1.4037,                 1.8272,                0.85144,                0.82346,                0.92152,                0.86985,                0.91804,                 1.2258,                 1.8104,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0615,                 1.3204,                 1.8096,                0.89691,                0.88448,                0.96074,                0.91561,                0.89238,                  0.857,                 1.8014,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0774,                 1.3371,                 1.8045,                0.88697,                0.88249,                0.95149,                0.89508,                0.90764,                0.87924,                 1.7698,              0.0010025,              0.0010025,              0.0010025
