                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.453,                 5.2154,                 1.9893,                0.64088,                0.40116,                0.59011,                0.54485,                  1.124,                 4.9884,                 1.9029,             0.00041304,             0.00041304,             0.00041304
                      2,                 1.2486,                 3.5919,                  1.907,                0.63546,                0.76531,                0.78097,                0.71917,                 1.0241,                 4.0513,                 1.8882,             0.00080233,             0.00080233,             0.00080233
                      3,                 1.2293,                 3.1472,                 1.8933,                0.63373,                0.76076,                 0.7776,                0.71612,                 1.0019,                 3.0266,                  1.903,              0.0011641,              0.0011641,              0.0011641
                      4,                 1.1779,                 2.6942,                 1.8631,                0.78314,                0.74551,                0.84953,                0.79264,                0.93047,                 2.6516,                 1.8038,              0.0011263,              0.0011263,              0.0011263
                      5,                 1.1651,                 2.4716,                 1.8676,                0.80501,                0.81054,                0.89388,                0.83884,                0.88683,                  2.047,                 1.8055,               0.001085,               0.001085,               0.001085
                      6,                 1.1205,                 2.1183,                 1.8379,                0.82784,                0.83107,                0.90863,                0.85536,                0.88808,                  1.813,                 1.8061,              0.0010438,              0.0010438,              0.0010438
                      7,                 1.0512,                 1.9297,                 1.8083,                0.83752,                 0.8307,                0.92057,                0.87926,                 0.8071,                 1.6009,                 1.7572,              0.0010025,              0.0010025,              0.0010025
                      8,                0.98976,                 1.7949,                 1.8004,                0.86111,                0.86702,                 0.9428,                0.89995,                0.82956,                 1.3972,                 1.7946,             0.00096125,             0.00096125,             0.00096125
                      9,                0.96149,                 1.5937,                 1.7794,                0.91523,                0.84417,                0.95127,                0.91903,                0.75925,                 1.2547,                 1.7806,                0.00092,                0.00092,                0.00092
                     10,                0.97829,                 1.5984,                 1.7876,                0.88756,                0.86789,                0.95531,                0.92066,                0.75686,                  1.183,                 1.7487,             0.00087875,             0.00087875,             0.00087875
                     11,                 0.9277,                 1.4789,                 1.7774,                0.91631,                0.87244,                0.95883,                0.92314,                0.75035,                 1.0685,                 1.7638,              0.0008375,              0.0008375,              0.0008375
                     12,                0.92578,                 1.4205,                 1.7644,                0.89383,                0.91216,                0.96653,                0.93878,                0.74782,                 1.0128,                 1.7804,             0.00079625,             0.00079625,             0.00079625
                     13,                0.85756,                 1.2986,                 1.7388,                 0.8711,                0.89511,                0.95082,                0.92312,                0.73795,                 1.0365,                 1.7632,               0.000755,               0.000755,               0.000755
                     14,                0.85101,                 1.2706,                  1.749,                0.92095,                0.91278,                0.97498,                0.95364,                0.68669,                0.86572,                 1.7463,             0.00071375,             0.00071375,             0.00071375
                     15,                0.83158,                 1.1977,                 1.7447,                0.90935,                0.88447,                0.96649,                0.94622,                0.67776,                0.90096,                 1.7539,              0.0006725,              0.0006725,              0.0006725
                     16,                  0.806,                 1.1557,                 1.7276,                0.93248,                0.92121,                0.97864,                0.96014,                 0.6896,                0.78922,                 1.7638,             0.00063125,             0.00063125,             0.00063125
                     17,                0.79397,                 1.1336,                 1.7316,                0.90459,                0.93871,                 0.9728,                0.95471,                0.65437,                0.78076,                 1.7521,                0.00059,                0.00059,                0.00059
                     18,                 0.7637,                 1.1024,                 1.7167,                0.91042,                0.91447,                0.97355,                0.95612,                0.63963,                 0.7823,                 1.7466,             0.00054875,             0.00054875,             0.00054875
                     19,                0.78113,                 1.0958,                 1.7281,                0.92918,                0.90728,                0.97318,                 0.9561,                0.63554,                0.77399,                 1.7529,              0.0005075,              0.0005075,              0.0005075
                     20,                0.75743,                 1.0628,                 1.7138,                0.93177,                0.91384,                0.97497,                0.96252,                0.62378,                0.70532,                 1.7449,             0.00046625,             0.00046625,             0.00046625
                     21,                0.57633,                0.82269,                  1.633,                0.94141,                0.92094,                0.97917,                0.96717,                0.61539,                0.68321,                 1.7288,               0.000425,               0.000425,               0.000425
                     22,                0.56006,                0.77105,                 1.6261,                0.93087,                0.92755,                0.97575,                0.96462,                0.58535,                 0.6801,                 1.7409,             0.00038375,             0.00038375,             0.00038375
                     23,                 0.5346,                0.72861,                 1.6183,                0.96384,                0.91261,                0.98268,                0.97223,                0.58149,                0.63444,                 1.7475,              0.0003425,              0.0003425,              0.0003425
                     24,                0.52049,                0.71443,                 1.6171,                0.92127,                0.93322,                0.97824,                0.96902,                0.55428,                0.62516,                 1.7419,             0.00030125,             0.00030125,             0.00030125
                     25,                0.49483,                0.67931,                 1.6062,                0.93246,                 0.9381,                0.98086,                0.97221,                0.55288,                0.59507,                 1.7546,                0.00026,                0.00026,                0.00026
                     26,                0.49927,                0.69127,                 1.6139,                0.94126,                 0.9117,                0.97998,                0.97128,                0.53657,                0.59462,                 1.7532,             0.00021875,             0.00021875,             0.00021875
                     27,                0.46891,                 0.6423,                 1.6025,                0.95322,                0.91798,                   0.98,                0.97354,                0.53233,                0.60271,                 1.7464,              0.0001775,              0.0001775,              0.0001775
                     28,                0.45146,                0.63167,                 1.6066,                0.95376,                 0.9227,                0.98253,                0.97645,                   0.51,                0.55966,                 1.7474,             0.00013625,             0.00013625,             0.00013625
                     29,                0.44247,                0.61039,                 1.5955,                0.95816,                0.93731,                0.98546,                0.97953,                0.50427,                0.53689,                 1.7454,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                0.43079,                0.61933,                 1.5988,                0.95255,                0.93209,                0.98459,                0.97914,                0.50145,                0.53808,                 1.7442,              5.375e-05,              5.375e-05,              5.375e-05
